Date,MktRF,SMB,HML,Rf,Mom,ExcessOP,ExcessSP500,JNJ
201501,-3.11,-0.56,-3.58,0.0,3.84,4.268945,5.489250572684575,2.366670113423576
201502,6.13,0.63,-1.86,0.0,-2.82,-0.45719,-1.7396056070325554,-1.176280388754267
201503,-1.12,3.04,-0.37,0.0,2.74,-3.48023,0.8520762709815487,-1.3916813095641833
201504,0.59,-3.06,1.82,0.0,-7.27,5.029716,1.0491438545008007,0.9476116940440436
201505,1.36,0.93,-1.14,0.0,5.82,-4.78424,-2.101177285647163,-1.966544920568071
201506,-1.53,2.91,-0.79,0.0,3.01,-3.26234,1.9742039930008586,2.8216736368040345
201507,1.54,-4.17,-4.13,0.0,9.98,-3.21798,-6.258080462392581,-6.216954426385573
201508,-6.04,0.33,2.77,0.0,-2.09,-7.76044,-2.6442819620927143,0.08951589425256459
201509,-3.07,-2.62,0.56,0.0,5.22,11.55095,8.298307838940024,8.227112063482966
201510,7.75,-1.88,-0.46,0.0,-3.28,-0.56872,0.05049630655585022,0.20782131213645752
201511,0.56,3.6,-0.42,0.0,2.28,1.547827,-1.7530198374358805,2.2098232254858337
201512,-2.17,-2.84,-2.61,0.01,3.36,-6.51076,-5.083534448173628,1.6644816225057535
201601,-5.77,-3.42,2.09,0.01,1.44,4.080224,-0.4228355255019993,0.7272763714677849
201602,-0.07,0.73,-0.57,0.02,-4.38,-3.86363,6.57911087189412,3.567218138655212
201603,6.96,0.82,1.19,0.02,-5.01,5.202285,0.24993698233759604,3.565953279943383
201604,0.91,0.76,3.28,0.01,-6.02,1.534045,1.5224650171887684,0.5342387468542449
201605,1.78,-0.17,-1.66,0.01,1.42,9.384347,0.08108467059301887,8.398967425196428
201606,-0.05,0.61,-1.48,0.02,4.13,0.423116,3.5409807228685946,3.2199245371404355
201607,3.95,2.49,-1.32,0.02,-3.34,0.705566,-0.14191755612808662,-4.7233671338877805
201608,0.49,1.15,3.18,0.02,-3.49,0.71319,-0.14344825997834296,-0.3735657604899936
201609,0.25,2.12,-1.24,0.02,0.19,-8.26922,-1.962562503747222,-1.8315735233760253
201610,-2.02,-4.4,4.09,0.02,0.59,9.151927,3.3974446769983233,-4.063439272214852
201611,4.86,5.71,8.21,0.01,-4.62,4.149903,1.810075404423301,4.218321527377475
201612,1.82,0.1,3.53,0.03,-0.26,7.456697,1.7584341374735895,-1.7312235998097705
201701,1.94,-1.19,-2.75,0.04,-0.93,1.670327,3.6798260541408676,7.871682858164846
201702,3.57,-2.05,-1.67,0.04,-1.65,7.839771,-0.07892301704151533,2.5491069052675708
201703,0.17,1.14,-3.35,0.03,-1.02,5.709551,0.8791216902552998,-0.8970836686156848
201704,1.09,0.73,-2.13,0.05,0.48,7.646276,1.1076210049492645,3.821350666391812
201705,1.06,-2.57,-3.78,0.06,1.48,4.61996,0.42138319927024104,3.7741179052010616
201706,0.78,2.25,1.48,0.06,-0.09,0.291599,1.8748768883515514,0.2650558845959962
201707,1.87,-1.51,-0.31,0.07,1.68,7.15509,-0.015350767113309776,-0.3337250787479824
201708,0.16,-1.67,-2.09,0.09,3.26,9.703392,1.8402894827342073,-1.2480790685604686
201709,2.51,4.47,3.14,0.09,-1.32,13.30845,2.1288174774545947,7.140210316225161
201710,2.25,-1.94,0.2,0.09,4.27,1.235072,2.7182601368405406,-0.14740025789111177
201711,3.12,-0.55,-0.03,0.08,-0.87,-4.83144,0.9031619818853519,0.8140264380903647
201712,1.06,-1.32,0.06,0.09,-1.54,0.574961,5.527872464570368,-1.1850527534218966
201801,5.57,-3.13,-1.29,0.12,4.05,-3.0969,-4.014737960415184,-6.13346064829741
201802,-3.65,0.25,-1.04,0.11,3.58,-2.0092,-2.7984513768364283,-0.8101865146007944
201803,-2.35,4.06,-0.21,0.11,-1.13,-6.19138,0.1618801001185326,-1.4053612723171605
201804,0.28,1.13,0.54,0.14,0.36,8.52723,2.0208353316591374,-5.571264181912724
201805,2.65,5.25,-3.2,0.14,3.89,-4.81235,0.34424002040461427,2.050213154446344
201806,0.48,1.14,-2.34,0.14,-2.35,9.205191,3.4621586465418646,9.073796267140091
201807,3.19,-2.22,0.47,0.16,-1.41,2.19901,2.8663218631603997,1.4774729010111147
