Date,CI,F,IBM,JNJ,MU,SHW,WBD,XOM,SPY,S&P 500,Rf
2015-01-01,13.85376092,12.21439616,5.62911583,2.366670113,4.783062613,5.135119189,11.4177268,1.281211529,5.62089958,5.489250573,0.0
2015-02-01,6.421127292,-1.223990554,-0.1939661965,-1.176280389,-11.54223409,-0.01264437838,-4.767798909,-3.275613815,-2.008953553,-1.739605607,0.0
2015-03-01,-3.676710652,-2.106569124,6.722724873,-1.39168131,3.685963573,-2.284707347,5.201563719,2.788266477,1.439095426,0.852076271,0.0
2015-04-01,12.98939505,-3.082142331,-0.9574290525,0.947611694,-0.7109874751,3.661870409,4.882564744,-2.483708796,1.283566965,1.049143855,0.0
2015-05-01,15.03232032,-1.054698566,-3.394639907,-1.966544921,-32.5456453,-4.344601558,-2.003538657,-1.539727141,-2.50680896,-2.101177286,0.0
2015-06-01,-11.07407664,-1.199206004,-0.4119203911,2.821673637,-1.751591531,0.9963132192,-0.7215815226,-4.795650256,2.75940707,1.974203993,0.0
2015-07-01,-2.269879721,-5.517730492,-8.704255935,-6.216954426,-11.34522385,-7.902526983,-19.44276196,-5.012000742,-6.097425655,-6.258080462,0.0
2015-08-01,-4.098316567,-2.162919162,-1.160662228,0.08951589425,-8.714199109,-12.69607414,-2.142853383,-0.2583155408,-3.05465288,-2.644281962,0.0
2015-09-01,-0.7258012583,9.137824519,-3.373163165,8.227112063,10.54740776,19.77284686,13.10026842,11.28446288,9.068746953,8.298307839,0.0
2015-10-01,0.7012519847,-2.256428293,-0.4711188802,0.2078213121,-3.804359811,3.462843777,5.774449532,-1.305291722,0.3632096558,0.05049630656,0.0
2015-11-01,8.408686315,-1.674833039,-0.3651385143,2.209823225,-11.11111253,-5.728884713,-14.32241215,-3.711090461,-2.304994154,-1.753019837,0.0
2015-12-01,-8.699516892,-15.25902765,-9.322773134,1.674481623,-22.10451053,-1.513897746,3.410794603,-0.1282988647,-4.416709409,-5.073534448,0.01
2016-01-01,4.498505159,8.307538746,5.000366736,0.7372763715,-3.626477878,5.800486068,-9.387459224,2.954434185,-0.08347245409,-0.4128355255,0.01
2016-02-01,-1.697609679,7.913696511,16.76485149,3.587218139,-1.50516263,5.579917421,14.519996,5.238513615,6.182121972,6.599110872,0.02
2016-03-01,0.9761491053,0.4444680375,-3.638148921,3.58595328,2.674303973,0.9273924648,-4.610548537,5.754293088,0.9104192424,0.2699369823,0.02
2016-04-01,-7.528522586,0.5810242581,5.344653635,0.5442387469,18.32556938,1.315641542,1.977301427,0.7013441581,1.704165738,1.532465017,0.01
2016-05-01,-0.09369271757,-6.819894565,-0.3221234519,8.408967425,8.176106815,1.176705733,-9.407540395,6.18717513,-0.1752272478,0.09108467059,0.01
2016-06-01,0.757903381,0.7159988543,5.82423469,3.239924537,-0.1453671359,2.063548576,-0.5548949663,-5.109892927,4.185408667,3.560980723,0.02
2016-07-01,-0.5428233343,0.6173638236,-1.083320946,-4.703367134,20.01456972,-5.344824767,1.673973695,-2.034826069,0.1210972464,-0.1219175561,0.02
2016-08-01,1.606116234,-4.206346514,0.8446383372,-0.3535657605,7.822939911,-2.203149648,5.527244218,1.01478695,-0.4943205721,-0.12344826,0.02
2016-09-01,-8.81676136,-2.734059837,-3.248361215,-1.811573523,-3.48706801,-11.49423874,-3.00891159,-4.537116301,-1.236655745,-1.942562504,0.02
2016-10-01,13.38889453,3.143134324,5.550130812,-4.043439272,13.81116635,9.723917032,3.753347233,4.776757428,3.681506849,3.417444677,0.02
2016-11-01,-1.001947769,1.421398891,3.252279302,4.228321527,12.2375944,0.3432530577,1.181247693,4.306089626,1.429603633,1.820075404,0.01
2016-12-01,9.618411776,1.896126105,5.138874113,-1.7012236,9.990895182,13.04978233,3.429405327,-7.057356085,2.391492393,1.788434137,0.03
2017-01-01,1.832871079,3.009158293,3.036916333,7.911682858,-2.778937667,1.556884104,1.446208113,-3.063549408,3.925855986,3.719826054,0.04
2017-02-01,-1.618525914,-7.10292994,-2.393001267,2.589106905,23.29349588,0.809033659,1.147426982,1.770666195,-0.3060297423,-0.03892301704,0.04
2017-03-01,6.772563716,-1.460474641,-7.953376979,-0.8670836686,-4.256053135,7.895158746,-1.065654864,-0.4390018591,1.429325147,0.9091216903,0.03
2017-04-01,3.108033471,-1.744849041,-4.778836245,3.871350666,11.20348028,-0.8695030662,-7.922171372,-1.408423678,1.413912139,1.157621005,0.05
2017-05-01,3.82064404,0.6294743208,1.770768316,3.834117905,-2.95742811,6.051704135,-2.528301887,1.232743626,0.1492119743,0.4813831993,0.06
2017-06-01,3.685978785,0.2681176375,-5.954633671,0.3250558846,-5.827198248,-3.900703177,-4.761904762,-0.854708236,2.551447993,1.934876888,0.06
2017-07-01,4.897467987,-0.4309366494,-1.133590099,-0.2637250787,13.6913364,0.5929897561,-9.71545122,-4.635159038,0.2905656951,0.05464923289,0.07
2017-08-01,2.680435237,8.522227256,2.504971689,-1.158079069,23.02157161,5.802875378,-4.142269435,8.443064154,1.511996378,1.930289483,0.09
2017-09-01,5.499072124,2.506271236,6.189638788,7.230210316,12.66210428,10.36476029,-11.31987735,1.671158111,2.863003924,2.218817477,0.09
2017-10-01,7.357283891,3.304510299,-0.05839845215,-0.05740025789,-4.333110989,1.080608341,0.7415307596,-0.07202097774,3.056446718,2.808260137,0.09
2017-11-01,-4.080666803,-0.2396329288,0.6387617211,0.8940264381,-2.99601148,2.885461092,17.66560988,1.349626297,0.6983298978,0.9831619819,0.08
