Portfolio,Risk Premium (%),SD (%),Sharpe,CI,F,IBM,JNJ,MU,SHW,WBD,XOM
Equal weight,0.8288,5.649,0.1467,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
P1,0.6076,4.3298,0.1403,0.0732,0.0642,0.1654,0.7585,0.0246,-0.0875,0.0522,-0.0506
G,0.7709,4.2409,0.1818,0.11860511882448017,0.03772504185077163,0.10829244760831987,0.6911301911069627,0.0640472251599455,-0.007685931281136554,0.004643724002201447,-0.016757817271544694
P3,0.9342,4.3298,0.2158,0.1641,0.0111,0.0511,0.6242,0.1036,0.072,-0.0429,0.0167
P4,1.0975,4.5862,0.2393,0.2095,-0.0154,-0.006,0.5572,0.1432,0.1518,-0.0904,0.0502
P5,1.2608,4.9842,0.253,0.255,-0.042,-0.0632,0.4902,0.1827,0.2315,-0.1379,0.0836
P6,1.4241,5.4933,0.2592,0.3005,-0.0686,-0.1203,0.4232,0.2223,0.3112,-0.1854,0.1171
P,1.5874,6.0855,0.2609,0.34596290408537844,-0.09517190633191173,-0.17750714540912496,0.35626107140623087,0.2618722025046561,0.3909571109677573,-0.2329414690581724,0.1505672318351861
P8,1.7507,6.739,0.2598,0.3914,-0.1218,-0.2347,0.2893,0.3014,0.4707,-0.2805,0.184
P9,1.914,7.4377,0.2573,0.4369,-0.1484,-0.292,0.2225,0.341,0.5504,-0.328,0.2175
P10,2.0773,8.1699,0.2543,0.4824,-0.1749,-0.349,0.1553,0.3806,0.6301,-0.3755,0.251
