Factor,Coefficient,Std. Error,t-stat,p-value,R-squared,Adj. R-squared,Observations,Model
Alpha,0.9987622719350155,0.5082303550014611,1.965176345934993,0.05201041903084644,0.2843853851761252,0.27763430390420174,108,Market
ExcessSP500,0.7184270825932214,0.11069187061503503,6.490332836561884,2.816497142465403e-09,0.2843853851761252,0.27763430390420174,108,Market
Alpha,1.6483850488205016,0.6040144970412241,2.729048817363069,0.007459634111632458,0.021008668848839895,-0.0072314657035972285,108,Fama-French 3-factor
MktRF,-0.07354307862713808,0.1315751005532917,-0.558943738730802,0.577401711488764,0.021008668848839895,-0.0072314657035972285,108,Fama-French 3-factor
SMB,-0.254240088702574,0.22754868013338952,-1.1172997731893584,0.26644067978418384,0.021008668848839895,-0.0072314657035972285,108,Fama-French 3-factor
HML,0.06548973347827658,0.15378954907790562,0.42583994732373687,0.6711044666992493,0.021008668848839895,-0.0072314657035972285,108,Fama-French 3-factor
Alpha,1.686638762007599,0.6076919915996124,2.7754829507756096,0.00654749976006024,0.025978937372192368,-0.01184712331238269,108,Carhart 4-factor
MktRF,-0.11248618231951125,0.1423965659171409,-0.7899501058541385,0.4313717853639026,0.025978937372192368,-0.01184712331238269,108,Carhart 4-factor
SMB,-0.29494816974708626,0.23487995723466892,-1.2557400521509934,0.21205136787523254,0.025978937372192368,-0.01184712331238269,108,Carhart 4-factor
HML,0.03006945544994133,0.16169917409260326,0.185959239548873,0.8528424630691271,0.025978937372192368,-0.01184712331238269,108,Carhart 4-factor
Mom,-0.12545611085017394,0.17304834725327686,-0.7249772265467175,0.4701098037417654,0.025978937372192368,-0.01184712331238269,108,Carhart 4-factor
Alpha,0.808574930971402,0.4541185832774391,1.7805369803098576,0.07793645081097439,0.04735714067780328,0.010361301480824814,108,JNJ Carhart
MktRF,-0.17639249917827773,0.10641069435134175,-1.6576576278684303,0.10042937822938833,0.04735714067780328,0.010361301480824814,108,JNJ Carhart
SMB,0.18291292733355183,0.1755220652799884,1.042107879951012,0.29980151806109984,0.04735714067780328,0.010361301480824814,108,JNJ Carhart
HML,-0.1792013027746555,0.12083522717285684,-1.4830220207084561,0.1411219784539812,0.04735714067780328,0.010361301480824814,108,JNJ Carhart
Mom,-0.09664190836879447,0.12931628420230531,-0.7473297656589458,0.4565672391402295,0.04735714067780328,0.010361301480824814,108,JNJ Carhart
